
This product is licensed by WSO2 Inc. under Apache License 2.0. The license
can be downloaded from the following locations:
	http://www.apache.org/licenses/LICENSE-2.0.html
	http://www.apache.org/licenses/LICENSE-2.0.txt

This product also contains software under different licenses. This table below
all the contained libraries (jar files) and the license under which they are 
provided to you.

At the bottom of this file is a table that shows what each license indicated
below is and where the actual text of the license can be found.


Name                                                                                                Type.          License
org.wso2.carbon.identity.user.registration.stub_5.18.187.jar                                        bundle         apache2
kubernetes-client_4.6.4.wso2v1.jar                                                                  bundle         apache2
org.wso2.carbon.ndatasource.capp.deployer_4.7.35.jar                                                bundle         apache2
woden_1.0.0.M9-wso2v1.jar                                                                           bundle         apache2
wso2is.key.manager.core_1.2.9.jar                                                                   bundle         apache2
siddhi-core_3.2.6.jar                                                                               bundle         apache2
org.eclipse.equinox.launcher_1.3.200.v20160318-1642.jar                                             bundle         epl1
org.ops4j.pax.logging.pax-logging-api_1.11.3.jar                                                    bundle         apache2
org.wso2.carbon.server.admin_4.6.2.jar                                                              bundle         apache2
org.apache.felix.gogo.runtime_0.10.0.v201209301036.jar                                              bundle         apache2
javax.validation.api_1.1.0.Final.jar                                                                bundle         apache2
org.eclipse.equinox.p2.console_1.0.300.v20131113-1212.jar                                           bundle         epl1
org.eclipse.equinox.concurrent_1.1.0.v20130327-1442.jar                                             bundle         epl1
org.wso2.carbon.identity.provisioning_5.18.187.jar                                                  bundle         apache2
org.jaggeryjs.hostobjects.file_0.14.13.jar                                                          bundle         apache2
org.wso2.carbon.event.stream.core_5.2.34.jar                                                        bundle         apache2
org.wso2.carbon.identity.sts.mgt.ui_5.6.5.jar                                                       bundle         apache2
svn-client-adapter_1.10.9.wso2v1.jar                                                                bundle         apache2
wss4j_1.5.11.wso2v21.jar                                                                            bundle         apache2
org.wso2.carbon.databridge.commons.binary_5.2.34.jar                                                bundle         apache2
org.wso2.carbon.event.output.adapter.kafka_5.2.34.jar                                               bundle         apache2
org.wso2.carbon.identity.oidc.dcr_6.4.111.jar                                                       bundle         apache2
org.wso2.carbon.task.services_4.7.99.jar                                                            bundle         apache2
org.wso2.carbon.event.receiver.stub_5.2.34.jar                                                      bundle         apache2
org.wso2.carbon.identity.oauth.dcr_6.4.111.jar                                                      bundle         apache2
org.eclipse.equinox.p2.director.app_1.0.300.v20150129-0838.jar                                      bundle         epl1
org.wso2.carbon.application.deployer.synapse_4.7.99.jar                                             bundle         apache2
org.wso2.carbon.governance.custom.lifecycles.checklist_4.8.21.jar                                   bundle         apache2
tomcat_9.0.34.wso2v1.jar                                                                            bundle         apache2
org.wso2.carbon.event.client.stub_4.7.35.jar                                                        bundle         apache2
tomcat-el-api_9.0.34.wso2v1.jar                                                                     bundle         apache2
org.eclipse.equinox.frameworkadmin.equinox_1.0.700.v20160102-2223.jar                               bundle         epl1
com.fasterxml.jackson.datatype.jackson-datatype-guava_2.10.3.jar                                    bundle         apache2
org.wso2.carbon.claim.mgt.ui_5.18.187.jar                                                           bundle         apache2
org.wso2.carbon.event.input.adapter.http_5.2.34.jar                                                 bundle         apache2
org.wso2.carbon.securevault_4.6.2.jar                                                               bundle         apache2
org.wso2.carbon.governance.custom.lifecycles.checklist.stub_4.8.21.jar                              bundle         apache2
commons-lang3_3.4.0.wso2v1.jar                                                                      bundle         apache2
org.wso2.carbon.identity.user.store.count.stub_5.18.187.jar                                         bundle         apache2
org.wso2.carbon.identity.entitlement.mediator_4.7.99.jar                                            bundle         apache2
org.wso2.carbon.mediation.security.stub_4.7.99.jar                                                  bundle         apache2
org.wso2.carbon.identity.user.store.configuration.ui_5.18.187.jar                                   bundle         apache2
org.eclipse.equinox.p2.updatesite_1.0.400.v20131211-1531.jar                                        bundle         epl1
org.eclipse.equinox.p2.metadata.repository_1.2.100.v20131209-2144.jar                               bundle         epl1
org.wso2.carbon.connector.core_4.7.99.jar                                                           bundle         apache2
org.eclipse.core.runtime_3.9.0.v20130326-1255.jar                                                   bundle         epl1
org.wso2.carbon.identity.sts.mgt_5.6.5.jar                                                          bundle         apache2
libphonenumber_7.4.2.wso2v1.jar                                                                     bundle         apache2
org.wso2.carbon.event.processor.manager.core_5.2.34.jar                                             bundle         apache2
synapse-samples_2.1.7.wso2v227.jar                                                                  bundle         apache2
org.wso2.carbon.identity.entitlement.stub_5.18.187.jar                                              bundle         apache2
org.wso2.carbon.roles.mgt_4.6.2.jar                                                                 bundle         apache2
org.wso2.carbon.tenant.redirector.servlet_4.9.10.jar                                                bundle         apache2
org.wso2.carbon.registry.info_4.7.39.jar                                                            bundle         apache2
wadl-core_1.1.6.wso2v1.jar                                                                          bundle         apache2
localizer-1.0.jar                                                                                   jarinbundle    apache2
jaxb-xjc-2.2.6.jar                                                                                  jarinbundle    cddl1
jersey-client-1.12.jar                                                                              jarinbundle    cddl1
jsr311-api-1.1.1.jar                                                                                jarinbundle    cddl1
jaxb-impl-2.2.6.jar                                                                                 jarinbundle    cddl1
org.wso2.carbon.identity.application.authentication.framework_5.18.187.jar                          bundle         apache2
hazelcast_3.12.2.wso2v1.jar                                                                         bundle         apache2
org.wso2.carbon.event.flow.stub_2.2.14.jar                                                          bundle         apache2
org.wso2.carbon.logging.view_4.7.35.jar                                                             bundle         apache2
com.github.ben-manes.caffeine_2.8.1.jar                                                             bundle         apache2
io.swagger.models_1.6.1.jar                                                                         bundle         apache2
siddhi-extension-math_3.2.6.jar                                                                     bundle         apache2
org.wso2.carbon.identity.authz.service_1.4.25.jar                                                   bundle         apache2
org.wso2.carbon.mediation.initializer.ui_4.7.99.jar                                                 bundle         apache2
org.wso2.carbon.event.input.adapter.websocket.local_5.2.34.jar                                      bundle         apache2
org.wso2.carbon.idp.mgt_5.18.187.jar                                                                bundle         apache2
org.wso2.carbon.governance.custom.lifecycles.checklist.ui_4.8.21.jar                                bundle         apache2
org.wso2.carbon.registry.resource.stub_4.7.39.jar                                                   bundle         apache2
org.wso2.carbon.mashup.javascript.hostobjects.registry_4.8.21.jar                                   bundle         apache2
org.wso2.carbon.database.utils_2.0.13.jar                                                           bundle         apache2
org.wso2.carbon.sts.ui_5.6.5.jar                                                                    bundle         apache2
org.wso2.carbon.mediator.cache_4.7.99.jar                                                           bundle         apache2
org.wso2.carbon.directory.server.manager_5.18.187.jar                                               bundle         apache2
org.wso2.carbon.application.mgt.stub_4.7.35.jar                                                     bundle         apache2
org.wso2.carbon.metrics.das.reporter_1.3.7.jar                                                      bundle         apache2
ua-parser_1.3.0.wso2v2.jar                                                                          bundle         apache2
org.wso2.carbon.core.commons.stub_4.6.2.jar                                                         bundle         apache2
org.wso2.carbon.registry.eventing_4.7.39.jar                                                        bundle         apache2
org.wso2.carbon.tenant.dispatcher_4.9.10.jar                                                        bundle         apache2
org.wso2.carbon.email.verification.ui_4.7.19.jar                                                    bundle         apache2
com.fasterxml.jackson.datatype.jackson-datatype-jsr310_2.10.3.jar                                   bundle         apache2
org.wso2.carbon.identity.sso.saml.stub_5.7.0.jar                                                    bundle         apache2
org.wso2.carbon.registry.server_4.6.2.jar                                                           bundle         apache2
org.wso2.carbon.proxyadmin_4.7.99.jar                                                               bundle         apache2
org.wso2.carbon.claim.mgt_5.18.187.jar                                                              bundle         apache2
org.apache.felix.gogo.shell_0.10.0.v201212101605.jar                                                bundle         apache2
org.wso2.carbon.registry.relations.stub_4.7.39.jar                                                  bundle         apache2
org.wso2.carbon.registry.admin.api_4.7.39.jar                                                       bundle         apache2
org.wso2.carbon.server.admin.ui_4.6.2.jar                                                           bundle         apache2
org.wso2.carbon.event.input.adapter.jms_5.2.34.jar                                                  bundle         apache2
siddhi-query-api_3.2.6.jar                                                                          bundle         apache2
org.apache.pdfbox.jempbox_1.8.16.jar                                                                bundle         apache2
org.wso2.carbon.identity.application.mgt_5.18.187.jar                                               bundle         apache2
swagger-inflector_1.0.16.wso2v1.jar                                                                 bundle         apache2
opensaml_3.3.1.wso2v2.jar                                                                           bundle         apache2
esapi-2.1.0.1.jar                                                                                   jarinbundle    bsd2 + cc-by-sa3
org.wso2.carbon.ndatasource.stub_4.7.35.jar                                                         bundle         apache2
org.jaggeryjs.scriptengine_0.14.13.jar                                                              bundle         apache2
org.wso2.carbon.apimgt.keymgt.client_9.0.174.jar                                                    bundle         apache2
cors-filter_1.7.0.wso2v1.jar                                                                        bundle         apache2
org.eclipse.equinox.common_3.8.0.v20160509-1230.jar                                                 bundle         epl1
org.wso2.carbon.event.processor.core_2.2.14.jar                                                     bundle         apache2
org.wso2.carbon.user.mgt.common_5.18.187.jar                                                        bundle         apache2
org.wso2.carbon.identity.authenticator.thrift_5.18.187.jar                                          bundle         apache2
org.wso2.carbon.event.processor.admin_2.2.14.jar                                                    bundle         apache2
org.wso2.carbon.governance.api_4.8.21.jar                                                           bundle         apache2
json-simple_1.1.0.wso2v1.jar                                                                        bundle         apache2
org.wso2.carbon.databridge.commons_5.2.34.jar                                                       bundle         apache2
de.javakaffee.kryo-serializers_0.38.0.jar                                                           bundle         apache2
org.wso2.carbon.user.mgt_5.18.187.jar                                                               bundle         apache2
commons-text_1.6.0.wso2v1.jar                                                                       bundle         apache2
org.wso2.carbon.rest.api.stub_4.7.99.jar                                                            bundle         apache2
org.wso2.carbon.identity.governance.stub_5.18.187.jar                                               bundle         apache2
