2020-05-12 22:47:21,733 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - API : DeleteAPI_PUBLISHED not found in store.
2020-05-12 22:47:22,172 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2020-05-12 22:47:22,173 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false}
2020-05-12 22:47:22,192 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2020-05-12 22:47:22,193 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false, "api" : {"name" : "DeleteAPI_PROTOTYPED", "version" : "1.0.0", "description" : "", "endpoint" : "", "wsdl" : "", "tags" : "", "availableTiers" : "Unlimited", "status" : "CREATED", "thumb" : null, "context" : "/DeleteAPI_PROTOTYPED/1.0.0", "lastUpdated" : "1589303842137", "subs" : 0, "templates" : [["/menu", "POST", "Any", "null"]], "sandbox" : "", "tierDescs" : "Allows unlimited requests", "bizOwner" : "", "bizOwnerMail" : "", "techOwner" : "", "techOwnerMail" : "", "wadl" : "", "visibility" : "public", "roles" : "", "tenants" : "", "epUsername" : "", "epPassword" : "", "endpointTypeSecured" : "false", "provider" : "DeleteAPICreatorPos", "transport_http" : "checked", "transport_https" : "checked", "apiStores" : null, "inSequence" : "", "outSequence" : "", "subscriptionAvailability" : "", "subscriptionTenants" : "", "endpointConfig" : "{\"endpoint_type\":\"http\",\"production_endpoints\":{\"config\":null,\"url\":\"https://localhost:9443/am/sample/pizzashack/v1/api/\"}}", "responseCache" : "Disabled", "cacheTimeout" : "300", "availableTiersDisplayNames" : "Unlimited", "faultSequence" : "", "destinationStats" : null, "resources" : "[{\"url_pattern\":\"\\/menu\",\"http_verbs\":{\"POST\":{\"auth_type\":\"Any\",\"throttling_tier\":\"null\"}}}]", "scopes" : "[]", "isDefaultVersion" : "false", "implementation" : "ENDPOINT", "environments" : "Production and Sandbox", "productionTps" : "", "sandboxTps" : "", "endpointAuthTypeDigest" : "false", "corsConfiguration" : "{\"corsConfigurationEnabled\":false,\"accessControlAllowOrigins\":[\"*\"],\"accessControlAllowCredentials\":false,\"accessControlAllowHeaders\":[\"authorization\",\"Access-Control-Allow-Origin\",\"Content-Type\",\"SOAPAction\"],\"accessControlAllowMethods\":[\"GET\",\"PUT\",\"POST\",\"DELETE\",\"PATCH\",\"OPTIONS\"]}", "hasDefaultVersion" : false, "currentDefaultVersion" : null, "availableSubscriptionPolicy" : "", "apiLevelPolicy" : "", "type" : "HTTP", "accessControl" : "all", "accessControlRoles" : "", "additionalProperties" : "{}", "authorizationHeader" : "", "gatewayLabels" : null}}
2020-05-12 22:47:23,676 INFO  [org.wso2.am.scenario.tests.delete.existing.api.DeleteExistingAPIsTestCases] - API life cycle state change response code : 200
2020-05-12 22:47:23,676 INFO  [org.wso2.am.scenario.tests.delete.existing.api.DeleteExistingAPIsTestCases] - API life cycle state change response data : {"error" : false, "lcs" : [{"username" : "DeleteAPICreatorPos", "newStatus" : "CREATED", "oldStatus" : "", "date" : "1589303842022"}, {"username" : "DeleteAPICreatorPos", "newStatus" : "PROTOTYPED", "oldStatus" : "CREATED", "date" : "1589303843672"}], "wfstatus" : null, "status" : {"workflowResponse" : {"jsonPayload" : ""}, "stateChangeStatus" : null}}
2020-05-12 22:47:23,778 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2020-05-12 22:47:23,778 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false}
2020-05-12 22:47:23,826 INFO  [org.wso2.am.scenario.tests.delete.existing.api.DeleteExistingAPIsTestCases] - API delete response code for API 'DeleteAPI_PROTOTYPED' : 200
2020-05-12 22:47:23,826 INFO  [org.wso2.am.scenario.tests.delete.existing.api.DeleteExistingAPIsTestCases] - API delete response data for API 'DeleteAPI_PROTOTYPED' : {"error" : true, "message" : " Cannot find the requested API- DeleteAPI_PROTOTYPED-1.0.0"}
2020-05-12 22:47:23,826 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - WAIT for API to be unavailable in store: DeleteAPI_PROTOTYPED
2020-05-12 22:47:23,853 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
